Word,Type,Pronunciation,Definition,Sentence,Synonyms,Favor
Achromatic,adj,aye-kro-matic,refracting light without dispersing it into its constituent colors: giving images practically free from extraneous colors,An achromatic telescope,neutral; achromous; colorless; diatonic,1
Acidulous,adj,uh-si-juh-luhs,sour in taste or manner,The adiculous taste of the spoiled milk made the young boy's lips pucker,acerbic; acetous; biting; piquant; pungent; tart,1
Acme,noun,aak-mee,highest point; summit; the highest level or degree attainable,"Just when he reached the acme of his power, the dictator was overthrown",apex; peak; summit,1
Acolyte,noun,aa-coe-light,"a person who assists in religious services by performing minor duties such as lighting the candles, carrying the crucifix or thurible, or setting the altar. It can also refer to a devoted follower or assistant to someone in a position of power or authority","As an acolyte, she was responsible for lighting the candles and assisting the priest during the church service",disciple; follower; assistant; apprentice; attendant; supporter; henchman; adjutant; devotee,1
Acquiesce,verb,ac-qui-esce,"to accept, comply, or submit tacitly or passively--often used with in or to",The president has surrounded himself with a host of people who acquiesce to his every whim.,accede; agree; assent; come round; consent; subscribe,1
Acquisitive,adj,ac-quis-i-tive,excessively interested in acquiring money or material things,We live in a competitive and acquisitive society,greedy; hoarding; covetous; possessive; predatory; rapacious; materialistic,1
Acrimonious,adj,ac-ri-mo-ni-ous,(typically of speech or a debate) angry and bitter,An acrimonious dispute about wages,bitter; rancorous; caustic; acerbic; scathing; saracastic; acid; harsh; cutting; astringent; trenchant; mordant,1
Acrimony,noun,ac-ri-mo-ny,"anger and bitterness : harsh or biting sharpness especially of words, manner, or feelings",The dispute began again with increased acrimony,acidity; acidness; acridity; acridness; asperity; bile; bitterness; cattiness; tartness; vitriol,1
Acumen,noun,a-cu-men,"the ability to make good judgements and quick decisions, typically in a particular domain",Business acumen,awareness; shrewdness; acuity; sharpness,1
Addlepated,adj,Uh-dl-pey-tid,"confused, muddled, or befuddled in thinking or behavior, often in a foolish or nonsensical way",She was so addlepated by the confusing directions that she got lost on the way to the party,confused; befuddled; muddled; scatterbrained; disoriented,1
Adjudicate,verb,ad-ju-di-cate,make a formal judgment or decision about a problem or disputed matter; act as a judge in a competition,The committee adjudicates on all betting disputes,judge; adjudge; try; hear; examine; arbitrate; decide; settle; resolve; determine,1
Admonish,verb,ad-muh-nish,to scold or warn someone to correct their behavior or actions. It is a form of mild or stern rebuke that is intended to advise or caution someone,The teacher had to admonish the students who were misbehaving in class,reprimand; reproach; chide; rebuke; upbraid,1
Adscititious,adj,ad-sci-ti-tious,forming an addition or supplement; not integral or intrinsic,"All notice, and some enjoy, this adscititious literary overtone",additional; adventitious; incidental; extrinsic; supplemental; unessential; inessential,1
Adulterate,verb,uh-duhl-tuh-reyt,to make something impure or weaker by adding something of lower quality or value to it,The company was fined for adulterating its products with harmful chemicals,contaminate; taint; pollute; dilute; mix; alloy,1
Advocate,verb,AD-vuh-kate,"to publicly support or recommend a particular cause, policy or action",She decided to advocate for animal rights after volunteering at the local animal shelter,support; champion; promote; endorse; encourage; back; defend,1
Aerie,noun,ay-ree,"a nest build high in the air; an elevated, often secluded, dwelling","Perched high among the trees, the eagle's aerie was filled with eggs",perch; stronghold,1
Aesthetic,adj,ehs-theh-tihk,concerning the appreciation of beauty,The aesthetic movement regarded the pursuit of beauty to be the only true purpose of art,artistic; tasteful,1
Affected,adj,uh-fek-tid,phony; artificial,"The affected hairdresser spouted French phrases, though she had never been to France",insincere; pretentious; put-on,1
Affinity,noun,uh-fin-i-tee,a spontaneous or natural liking or sympathy for someone or something,Animals sharing this basic architecture may have no closer affinity than a beetle and a squid,affection; fondness; attraction; partiality,1
Affluent,adj,af-loo-uhnt,(especially of a group or area) having a great deal of money; wealthy,The affluent societies of the western world,wealthy; rich; prosperous; well-to-do,1
Aggrandize,verb,uh-gran-dahyz,"to increase in power, influence, and reputation",The supervisor sought to aggrandize himself by claiming that the achievements of his staff were actually his own,amplify; apotheosize; augment; dignify; elevate; enlarge; ennoble; exalt; glorify; magnify; swell; uplift; wax,1
Aggregate,adj,ag-ri-git,formed or calculated by the combination of many separate units or items; total,"The libraries of the city contain an aggregate of some 300,000 volumes",total; combined; gross; overall; composite,1
Alacrity,noun,uh-lak-ri-tee,speed or quickness,The restaurant won a reputation for fine service since the wait staff responded to their clients' requrests with alacrity,celerity; dispatch; haste; swiftness,1
Alas,interjection,uh-las,"an interjection used to express sorrow, grief, or regret","Alas, I forgot my phone at home and now I can't call for help",oh no; oh dear; unfortunately; regrettably; woefully,1
Albeit,conjunction,awl-bee-it,even though; although,"an enjoyable, albeit expensive, vacation",although; as; much as; notwithstanding; though; when; whereas; while; whilst,1
Aleatory,adj,ey-lee-uh-tawr-ee,things that involve or depend on luck or chance,"The outcome of the election was an aleatory event, with many unpredictable factors at play",random; chance; unpredictable; uncertain; arbitrary; accidental,1
Allay,verb,uh-ley,"diminish or put at rest (fear, suspicion, or worry); relieve or alleviate (pain or hunger)",Nothing would allay his fears,reduce; diminish; decrease; lessen; assuage; alleviate; ease; relieve; soothe; soften; calm,1
Allege,verb,uh-lej,"claim or assert that someone has done something illegal or wrong, typically without proof that this is the case",He alleged that he had been assaulted,claim; assert; declare; state; proclaim; maintain; advance,1
Allegory,noun,al-i-gawr-ee,the expression by means of symbolic fictional figures and actions of truths or generalizations about human existence,"Twenty-one years after its release, Lilly and Lana Wachowski’s film is widely read and accepted as a trans allegory, something Lilly recently confirmed to Netflix.",apologue; fable; parable,1
Alleviate,verb,uh-lee-vee-eyt,to make more bearable,Taking aspirin helps to alleviate a headache,allay; assuage; comfort; ease; lessen; lighten; mitigate; palliate; relieve,1
Amalgamate,verb,uh-mal-guh-meyt,to combine; to mix together,Giant Industries amalgamated with Mega Products to form Giant-Mega Products incoporated,admix; blend; coalesce; combine; commingle; commix; compound; fuse; intermingle; intermix; merge; mingle; mix; unite,1
Ambiguous,adj,am-big-yoo-uhs,doubtful or uncertain; can be interpreted several ways,The direction he gave were so ambiguous that we disagreed on which way to turn,cloudy; doubtful; dubious; equivocal; indeterminate; nebulous; obscure; unclear; vague,1
Ambivalent,adj,am-biv-uh-luhnt,having mixed feelings or contradictory ideas about something or someone,"... people whose relationship to their job is ambivalent, conflicted",conflicted; equivocal; uncertain; unsure; doubtful; indecisive; inconclusive; torn,1
Ameliorate,verb,uh-meel-yuh-reyt,to make better; to improve,The doctor was able to ameliorate the patient's suffering using painkillers,amend; better; imrove; pacify; upgrade,1
Amenable,adj,uh-mee-nuh-buhl,"willing to cooperate, agreeable, or open to influence or suggestion",The new employee was amenable to feedback and willing to learn from his mistakes,cooperative; compliant; agreeable; tractable; accommodating,1
Amorphous,adj,uh-mawr-fuhs,having no definite form; shapeless; lacking organization or unity,Completing the picture are amorphous swaths of color and a floating blue mask,formless; shapeless; unformed; unshaped; unstructured,1
Amortize,verb,uh-mawr-tahyz,to diminish by installment payments,"While college students are notorious for accumulating credit card debt, they are not as well known for amortizing it",conviviality,1
Amulet,noun,am-yuh-lit,ornament worn as a charm against evil spirits,"Though she claimed it was not because of superstition, Vivian always wore an amulet around her neck",fetish; talisman,1
Anachronism,noun,uh-nak-ruh-niz-uhm,something out of place in time,"The aged hippie used anachronistic phrases like ""groovy"" and ""far out"" that had not been popular for years",archaism; incongruity,1
Anagram,noun,an-uh-gram,a word or phrase made by transposing the letters of another word or phrase,"The word ""secure"" is an anagram of ""rescue.""",cipher; game; logograph,1
Analgesia,noun,an-uhl-jee-zhuh,a lessening of pain without loss of consciousness,"After having her appendix removed, Tatiana welcomed the analgesia that the painkillers provided",narcosis; apathy; inactivity,1
Analogous,adj,uh-nal-uh-guhs,similar or alike in some way; equivalent,His mother argued that not going to college was analogous to throwing his life away,alike; comparable; corresponding; equivalent; homgeneous; parallel; similar,1
Anecdotal,adj,an-ik-doht-l,"(of an account) not necessarily true or reliable, because based on personal accounts rather than facts or research",While there was uch anecdotal evidence there was little hard fact,unreliable; unscientific,1
Anecdote,noun,an-ik-doht,a short and amusing or interesting story about a real incident or person,Told anecdotes about his job,story; tale; narrative; incident,1
Animadversion,noun,an-uh-mad-vur-zhuhn,"a critical or disapproving comment or remark, usually made about someone's behavior or actions",The reviewer's animadversions on the new novel have sparked a heated debate among literary critics,criticism; censure; rebuke; reproach; condemnation; disapproval,1
Animus,noun,an-uh-muhs,hostility or ill feeling,The author's animus toward her,animosity; antagonism; antipathy; bad blood; bitterness; enmity; gall; grudge; hostility; jaundice; rancor,1
Anodyne,noun,an-uh-dahyn,something that calms or soothes pain,The anodyne massage helped remove the knots from the lawyer's tense shoulders,narcotic; nepenthe; opiate,1
Anomaly,noun,uh-nom-uh-lee,deviation from what is normal,Albino animals may display too great an anomaly in their coloring to attract normally colored mates,aberrant; aberration; abnormality; deviance; deviation; irregularity; preternaturalness,1
Antagonize,verb,an-tag-uh-nahyz,to annoy or provoke to anger,The child discovered that he could antagonize the cat by pulling its tail,clash; conflict; incite; irritate; oppose; pester; provoke; vex,1
Antecedent,noun,an-tuh-see-duhnt,a thing or event that existed before or logically precedes another,Some antecedents to the African novel might exist in Africa's oral traditions,precursor; forerunner; predecessor,1
Antediluvian,adj,an-tee-di-loo-vee-uhn,of or relating to the period before the flood described in the Bible,He has antediluvian notions about the role of women in the workplace,age-old; aged; ancient; antique; dateless; hoar; hoary; immemorial; old; venerable,1
Anthropomorphism,noun,an-thruh-puh-mawr-fiz-uhm,"the attribution of human characteristics or behavior to a god, animal, or object","Although there are dangers to anthropomorphism, there is also a lot to learn about ourselves from dogs",anthropomophism,1
Antipathy,noun,an-ti-puh-thee,extreme dislike,The antipathy between fans of the rival soccer teams meade the game even more electrifying to watch,abhorrence; animosity; animus; antagonism; aversion; dislike; enmity; hatred; hostility; loathing; repellence; repugnance; repulision; revulsion,1
Antiquity,noun,an-tik-wi-tee,"the ancient past, especially the period before the Middle Ages",The great civilizations of antiquity,ancient times; the ancient past; classical times; the distant past,1
Antithesis,noun,an-tuh-thee-sis,a person or thing that is the direct opposite of someone or something else,Friends of the actress say she is quite the antithesis of her giddy and frivolous character,converse; contrary; reverse; inverse; obverse; flip side,1
Antithetical,adj,an-ti-thet-i-kuhl,directly opposed or contrasted; mutually incompatible,The notion of freedom is antithetical to the idea of oppression,antipodal; antipodean; contradictory; contrary; diametric; opposite; polar,1
Apathy,noun,ap-uh-thee,lack of interest or emotion,The apathy of voters is so great that less than half the people who are eligible to vote actually bother to do so.,coolness; disinterest; disregard; impassivity; indifference; insensibility; lassitude; lethargy; listlessness; phlegm; stolidity; unconcern; unresponsiveness,1
Aphorism,noun,af-uh-riz-uhm,"a pithy observation that contains a general truth, such as, ""if it ain't broke, don't fix it""","The old aphorism ""the child is father to the man""",saying; maxim; axiom; adage; precept; epigram; epigraph; dictum; gnome; proverb; motto; expression; phrase; apothegm,1
Apocryphal,adj,uh-pok-ruh-fuhl,of questionable authority or authenticity,"There is no hard or authoritative evidence to support the apocryphal tales that link the Roswell, New Mexico, incident to a downed UFO",disputed; doubtful; fictitious; fraudulent,1
Apoplectic,adj,ap-uh-plek-tik,overcome with anger; extremely indignant,Mark was apoplectic with rage at the decision,furious; enraged; incensed; raging,1
Apostate,noun,uh-pos-teyt,one who renounces a religious faith,"So that he could divorce his wife, the king scoffed at the church doctrines and declared himself an apostate",defector; deserter; traitor,1
Apotheosis,noun,uh-poth-ee-oh-sis,the highest point in the development of something; culmination or climax,His appearance as Hamlet was the apotheosis of his career,culmination; climax; peak; pinnacle; summit; zenith; apex; acme; apogee; height,1
Apportion,verb,uh-pawr-shuhn,to divide and share out according to a plan,"The case is one of several high-stakes legal battles over the census, whose tallies are used to apportion House seats, determine legislative districts and distribute at least $800 billion a year in federal funds.",allocate; allot; allow; assign; distribute; lot; ration,1
Appreciable,adj,uh-pree-shee-uh-buhl,cabable of being perceived or measured,People who grow up outside the U.S. and have an appreciable net worth rarely make this same choice.,apprehensible; detectable; discernible; distinguishable; palpable; perceptible; sensible,1
Apprehension,noun,app-ree-hen-sion,anxiety or fear that something bad or unpleasant will happen; understanding; grasp; seizure by legal process,An increased number of apprehensions,agita; agitation; anxiety; care; concern; fear; worry; understanding; grasp; seizure,1
Approbation,noun,aa-pruh-bay-shuhn,approval and praise,The approbation that Jerry Lewis received in France included a medal from the Ministry of Culture,acclaim; adulation; applause; commendation; compliments; exalt; extol; hail; kudos; praise,1
Apropos,adj,ap-ro-pos,being both relevant and opportune,Mike Zimmer's cabin motif with game mounted on the walls was apropos,applicable; apposite; germane; material; pertinent; pointed; relative; relevant,1
Apt,adj,apt,unusually fitted or qualified; having a tendency,Plants apt to suffer from drought,given; inclined; prone; tending,1
Arbitrary,adj,ahr-bih-trayr-ee,determined by chance or impulse,"When you lack the information to judge what to do next, you will be forced to make an arbitrary decision",changeable; erratic; indiscriminate; random; wayward,1
Arbitrate,verb,ahr-bih-trayt,to judge a dispute between two opposing parties,"Since the couple could not come to an agreement, a judge was forced to arbitrate their divorce proceedings",adjudge; adjudicate; determine; intermediate; intervene; judge; moderate; referee; rule,1
Arboreal,adj,ar-BOR-ee-al,"relating to or living in trees. It is used to describe animals, plants, or objects that are adapted to living or growing in trees","Sloths are known for being arboreal animals, spending most of their lives hanging upside down from tree branches",tree-dwelling; arboreous; arborescent; arboreous,1
Archaic,adj,ahr-kay-ihk,ancient; old-fashioned,Her archaic Commodore computer could not run the latest software,ancient; antediluvian; antique; archaic; bygone; dated; dowdy; fusty; obsolete; old-fahioned; outdated; outmoded; passe; prehistoric; stale; superannuated; suerseded; vintage,1
Ardent,adj,ahr-dnt,characterized by intense feeling or passion; enthusiastic or devoted,The ardent supporters of the team cheered loudly throughout the game,passionate; fervent; zealous; dedicated; enthusiastic,1
Ardor,noun,ahr-duhr,intense and passionate feeling,Bishop's ardor for landscape was evident when he passionately described the beauty of the scenic Hudson Valley,devotion; enthusiasm; fervency; fervidity; fervidness; fervor; fire; passsion; zeal; zealousness,1
Armistice,noun,ahr-muh-stis,"a formal agreement between warring parties to stop fighting, typically for a temporary period of time","The armistice was signed by both sides, bringing an end to the war",truce; ceasefire; suspensino of hostilities; respite; moratorium; peace treaty,1
Arrogate,verb,aa-ruh-gayt,to claim without justification; to claim for oneself without right,Gretchen watched in astonishment as her boss arrogated the credit for her brilliant work on the project,appropriate; presume; take,1
Articulate,adj,ahr-tih-kyuh-luht,able to speak clearly and expressively,"She is extremely articulate when it comes to expressing her pro-labor views; as a result, unions are among her strongest supporters",eloquent; expressive; fluent; lucid; sliver-tongued; smooth-spoken,1
Askew,adverb,e-skyu,out of line : at an angle,"Nearby, the remnants of a red taillight sat askew near the sidewalk while a license plate lay in the street",aslant; awry; cockeyed; crazy; crooked; listing; oblique; skewed; slanted; tilted; tipping; uneven,1
Assail,verb,uh-sayl,to attack; assualt,"The foreing army will try to assail our bases, but they will not be successful in their attack",beset; strike; storm,1
Assiduous,adj,as-sid-u-ous,showing great care and perseverance,She was assiduous in pointing out every feature,diligent; careful; meticulous; thorough; sedulous; attentive; industrious; elaborate; correct,1
Assuage,verb,uh-swayj,to make something unpleasant less severe,"Like many people, Philip Larkin used alcohol to assuage his sense of meaninglessness and dispair",allay; alleviate; appease; comfort; conciliate; ease; lighten; mitigate; mollify; pacify; palliate; placate; propitiate; relieve; soothe; sweeten,1
Attenuate,verb,uh tehn-yoo-eyt,to reduce in force or degree; weaken,The Bill of Rights attenuated the traditional power of government to change laws as will,debilitate; devitalize; dilute; enervate; enfeeble; rarefy; sap; thin; undermine; undo; unnerve; water; weaken,1
Audacious,adj,aw-dey-shuhs,fearless and daring ,The audacious peasant dared to insult the king's mother,adventuresome; aggressive; assertive; bold; brave courageous; daring; dauntless; doughty; fearless; gallant; game; heroic; intrepid; mettlesome; plucky; stout; stouthearted; unafraid; undaunted; valiant; valorous; venturesome; venturous,1
Audeamus,noun,ah-dee-ah-muhs,Let us dare,"NGS motto ""Let us dare"" -- Audeamus",audeamus,1
Augment,verb,awg-ment,"to make greater, more numerous, larger, or more intense",These reserve units will soon be augmented by full-time Maritime Safety and Security Teams. The first of these teams was formed on July 3; a dozen more are supposed to be created within the next three years.,accelerate; add (to); aggrandize; amplify; boost; build up; compound; enlarge; escalate; expand; extend; hype; increase; multiply; raise; stoke; swell; up,1
Augury,noun,aw-gyuh-ree,prophecy; prediction of events,Troy hoped the rainbow was an augury of good things to come,auspices; harbinger; omen; portent; presage,1
August,adj,aw-guhst,dignified; grandiose,The august view of the Grand Teton summit took my breath away,admirable; awesome; grand; majestic,1
Auspicious,adj,aw-spish-uhs,"conducive to success; favorable, indicating a positive outcome or good fortune. It can also mean marked by success or prosperity; prosperous",The discovery of a potentially habitable exoplanet by the Kepler telescope in 2015 was an auspicious moment for space exploration and astrobiology research,promising; propitious; fortunate; lucky; encouraging,1
Austere,adj,aw-steer,severe or stern in appearance; undecorated,The lack of decoration makes Zen temples seem austere to the untrained eye,bleak; dour; grim; hard; harsh; severe,1
Austerity,noun,uh-stair-i-dee,sternness or severity of manner or attitude,An especially disturbing anecdote at the end of the times story revealed a McKinsey & Company study measured the public reception of economic austerity measures introduced in Saudi Arabia in 2015,severity; strictness; seriousness; solemnity; gravity,1
Avarice,noun,av-er-is,extreme greed for wealth or material gain,"And no shortage of philisophical reflection on nature, ego and avarice",greed; acquisitiveness; cupidity; rapacity; materialism,1
Axiom,noun,ak-see-uhm,premise; postulate; self-evident truth,Halle lived her life based on the axioms her grandmother had passed on to her,adage; apothegm; aphorism; maxim; rule,1
Baleful,adj,beyl-fuhl,threatening harm; menacing,Bill shot a baleful glance in her direction,menacing; threatening; unfriendly; hostile; evil; vindictive; wicked; nasty; malevolent; sinister,1
Bamboozle,verb,bam-boo-zuhl,"to deceive by underhanded methods: Dupe, Hoodwink",I got bamboozled by the salesperson to buy a more expensinve model,beguile; bluff; con; deceive; dupe; fool; hoax; hoodwink; misguide; misinform; mislead; spoof; sucker; trick,1
Banal,adj,buh-nal,"lacking in originality, freshness, or novelty; trite; commonplace",The book was full of banal platitudes and cliches,trite; cliched; hackneyed; stale; unoriginal; overused; pedestrian; mundane; dull; boring,1
Basilisk,adj,bas-uh-lisk,holding the attention as if by a spell,A basilisk story,spellbinding,1
Beguile,verb,bih-gahyl,to deceive or charm someone in a deceptive way; to distract or divert someone's attention,The thief beguiled his way into the house by pretending to be a salesman,charm; deceive; lure; captivate; enchant; seduce; trick; entice,1
Behest,noun,bih-hesst,a person's order or command,They had assembled at his behest,instruction; requirement; demand; insistence; bidding; request; wish; desire; will,1
Behoove,verb,bee hoov,"to be necessary, proper, or advantageous for",It behooves us to go,benifits,1
Belfry,noun,behl free,bell tower; room in which a bell is hung,The town was shocked when a bag of money was found stashed in the old belfry of the church,spire; steeple,1
Bellicose,adj,belly cose,demonstrating aggression and willingness to fight,A group of bellicose patriots,belligerent; aggressive; hostile; militant; contentious; antagonistic; combative,1
Belligerent,adj,buh-lij-er-uhnt,"aggressively hostile or warlike behavior, showing readiness to fight or argue",The belligerent attitude of the two leaders led to a heated argument that almost turned into a physical altercation,hostile; aggressive; pugnacious; confrontational; combative,1
Benison,noun,ben i son,a blessing,The rewards and benisons of marriage,benedication; blessing,1
Bevy,noun,beh vee,group,"As predicted, a bevy of teenagers surrounded the rock star's limousine.",band; bunch; gang; pack; troop,1
Bifurcate,verb,bi fuhr kayt,to divide into two parts,The large corporation just released a press statement announcing its plans to bifurcate,bisect,1
Bilk,verb,bihlk,to cheat; defraud,"When the greedy salesman realized that his customer spoke poor French, he bilked the tourist out of 20 euros",beat; defraud; diddle; gyp; overreach,1
Blight,verb,bliet,to afflict; destroy,The farmers feared that the night's frost would blight the potato crops entirely,damage; plague,1
Blithe,adj,BLAHYTH,something or someone showing a casual and cheerful indifference considered to be improper or ill-advised. It can also mean carefree and joyous,"Even though her team lost the game, she remained blithe and optimistic about their chances of winning the next one",carefree; jolly; jovial; cheerful; merry; happy-go-lucky; buoyant; breezy; nonchalant; insouciant; jaunty,1
Boilerplate,noun,boil er plate,standardized pieces of text for use as clauses in contracts or as part of a computer program,Some sections have been written as boilerplate for use in all proposals,mediocre; moderate; regular; common; general; everyday; run of the mill,1
Bolster,verb,bohl stuhr,to support; prop up,The presence of giant footprints bolstered the argument that Bigfoot was in the area,brace; buttress; crutch; prop; stay; support; sustain; underpinning; uphold,1
Bombastic,adj,bahm baast ihk,pompous in speech and manner; high-sounding but with little meaning; inflated.,"Mussolini's speeches were mostly bombastic, his boasting and outrageous claims had no basis in fact",bloated; declamatory; fustian; grandiloquent; grandiose; high-flown; magniloquent; orotund; pretentious; rhetorical; self-important,1
Bonhomie,noun,bah nuh mee,good-natured geniality; atmosphere of good cheer,The aspects of her job that Dana loved the most were the flexible hours and the pleasant bonhomie in the office,amenity,1
Boor,noun,bohr,"crude person, one lacking manners or taste","""That utter boor ruined my recital with his constant guffawing!"" wailed the pianist",clod; lout; oaf; vulgarian; yahoo,1
Bootless,adj,bootles,(of a task or undertaking) ineffectual; useless,Words at this pass were vain and bootless.,useless; ineffective; ineffectual; inefficacious; unproductive,1
Brandish,verb,bran dish,"wave or flourish (something, especially a weapon) as a threat or in anger or excitement",A man leaped out brandishing a knife,flourish; wave; shake; wield; raise; hold aloft,1
Brash,adj,brash,"behaving or speaking too confidently or aggressively, lacking restraint",His brash behavior at the meeting offended many people in the room,bold; audacious; impudent; insolent; rash; reckless,1
Burgeon,verb,buhr juhn,to grow and flourish,"Faulkner neither confirmed or denied stories about himself, allowing rumor to burgeon where it would",bloom; flourish; prosper; thrive,1
Burnish,verb,BUR-nish,"to polish a surface, typically metal, by rubbing it until it becomes shiny and smooth",She spent hours burnishing the brass candlesticks until they gleamed in the light,polish; shine; buff; gloss; brighten,1
Cabal,noun,kuh bahl,a secret group seeking to overturn something,The boys on the street formed a cabal to keep girls out of their tree house,camp; circle; clan; clique; coterie; in-group; mafia; mob; ring,1
Cachet,noun,ca chet,the state of being respected or admired; prestige,No other shipping company had quite the cachet of Cunard,prestige; prestigiousness; distinction; status; standing; kudos; snob value; stature; prominence; importance; preeminence; eminence,1
Cacophony,noun,kuh kah fuh nee,"harsh, jarring noise",The junior high orchestra created an almost unbearable cacophony as they tried to tune their instruments,chaos; clamor; din; discord; disharmony; noise,1
Cadre,noun,cah dre,a small group of people specially trained for a particular purpose or profession,A small cadre of scientists,corps; body; team; group; nucleus; core,1
Calumny,noun,KAL-uh-mee,making false and malicious statements about someone with the intent of harming their reputation,She was accused of spreading calumny about her former boss,slander; defamation; libel; vilification; smear; mudslinging; character; assassination,1
Campestral,adj,cam pest ral,of or relating to fields or open country; rural,Populations in this area have kept low because of repeated outbreaks of campestral plague,arcadian; bucolic; pastoral; rural; rustic,1
Canard,noun,kuh nard,a lie,That tabloid's feature story about a goat giving birth to a human child was clearly a canard,falsehood; falsity; fib; misrepresentation; prevarication; tale; untruth,1
Candid,adj,kaan did,impartial and honest in speech,The observations of a child can be charming since they are candid and unpretentious,direct; forthright; frank; honest; open; sincere; straight; straightforward; undisguised,1
Canonical,adj,kan on i call,conforming to a genral rule or acceptable procedure; orthodox,His proposals were genrally accepted as canonical,approved; authoritative; authorized; official; sanctioned,1
Capitulate,verb,ka pitch u late,cease to resist an opponent or an unwelcome demand; surrender,The patriots had to capitulate to the enemy forces,surrender; give in/up; yield; concede defeat; submit,1
Capricious,adj,kuh pree shuhs,changing one's mind quickly and often,Queen Elizabeth I was quite capricious; her courtiers could never be sure which one would catch her fancy,arbitary; chance; changeable; erratic; fickle; inconstant; mercurial; random; whimsical; willful,1
Captious,verb,kap shous,(of a person) tending to find fault or raise petty objections,A captious and cranky eater who's never met a vegetable he didn't hate,carping; caviling; critical; faultfinding; hypercritical; judgmenta; overcritical; rejective,1
Cardinality,noun,kar-din-AL-i-tee,a mathematical term that refers to the number of elements in a set or the size of a set. It is a way to measure and compare the sizes of different sets,"The cardinality of the set containing the numbers 1, 2, and 3 is three",size; number; count; quantity; magnitude,1
Carouse,verb,kuh-rouz,"to engage in boisterous, drunken merrymaking or revelry.",They would often carouse till late at night,revel; carousing; celebrate; party; frolic; bender,1
Carouse,verb,ca rouse,"drink plentiful amounts of alcohol and enjoy oneself with others in a noise, lively way.",They danced and caroused until the drink ran out,binge; birl; revel; roister; wassail,1
Carpe diem,noun,car pe di em,the enjoyment of the pleasures of the moment without concern for the future,"Not wishing to see his errors repeated, his message to Elio was an encouraging carpe diem, boys.",seize-the-day; live for the day; live for today; seize the present day; take no thought of the morrow,1
Cartography,noun,kahr tahg ruh fee,science or art of making maps,Gail's interst in cartography may stem from the extensive traveling she did as a child,charting; surveying; topography,1
